id,name,longitude,latitude,adname,中类,小类
B0GD7Y8MWY,weillbo,113.3371436,23.1891392,天河区,商场,免税品店
B0GU6CBAQ2,龙汇商贸小镇,113.36208,23.1941423,天河区,商场,普通商场
B00140VAUE,河水购物城,113.3257775,23.1753477,天河区,商场,普通商场
B0H3GR4HM8,迎龙海悦城,113.3597781,23.1952519,天河区,商场,购物中心
B0JB161SYB,汇美商城,113.3635355,23.2023114,天河区,商场,普通商场
B0IDC1SEB1,赫兹广场,113.3397556,23.1749378,天河区,商场,普通商场
B00141IH9C,龙洞购物中心,113.361239,23.1960187,天河区,商场,购物中心
B00141KDLJ,龙洞又一城,113.3615596,23.1957514,天河区,商场,普通商场
B0FFFCUY7D,丰荟城,113.3614148,23.1959175,天河区,商场,购物中心
B0FFHEZ8S7,龙洞商业广场,113.3609763,23.1964639,天河区,商场,普通商场
B0IGZC13YU,ing未来印,113.3934704,23.1403119,天河区,商场,购物中心
B0I0CUHDJE,棠下智汇PARK购物中心,113.3699898,23.1433382,天河区,商场,购物中心
B0FFHMZFTL,智慧城广百广场,113.399248,23.1691696,天河区,商场,购物中心
B0FFG63M2S,得利达广场,113.4079322,23.1649338,天河区,商场,商场
B0H14LTCY8,新惠百货(新塘市场店),113.4076994,23.1601456,天河区,商场,商场
B0H3Z5E7LC,时代,113.3973037,23.167509,天河区,商场,商场
B0JG5AXAC8,广州金融城广场(建设中),113.3727466,23.1199169,天河区,商场,购物中心
B00140W8IE,优托邦购物中心(奥体中心店),113.4098967,23.1335772,天河区,商场,购物中心
B0H1KX7QP2,美林M·LIVE天地-西座,113.4077449,23.1088552,天河区,商场,商场
B0FFM6QUQ8,极配者,113.4268854,23.127837,天河区,商场,免税品店
B00141I7LX,天河城百货(奥体中心优托邦购物中心店),113.4105113,23.1319973,天河区,商场,普通商场
B0HD39PADN,美林M·LIVE天地,113.4094832,23.1082003,天河区,商场,商场
B0FFIMFEFE,美林M·LIVE天地东座,113.4101327,23.107582,天河区,商场,购物中心
B0FFM8S1B6,万胜广场商业中心,113.37735,23.0988595,海珠区,商场,商场
B0FFH1YN8U,六元素·体验天地,113.3667975,23.098742,海珠区,商场,购物中心
B0FFIDSXVR,万胜围商业广场,113.3775935,23.1035364,海珠区,商场,商场
B0H3RAGO7N,琶洲商业广场,113.3771708,23.1039795,海珠区,商场,购物中心
B0FFKDJXFZ,B区(万胜围商业广场店),113.3781641,23.103318,海珠区,商场,普通商场
B0FFLKIS4G,琶洲商业广场A区(万胜围商业广场店),113.3772967,23.1039874,海珠区,商场,商场
B0FFIU5WW8,保利广场,113.3783941,23.1012637,海珠区,商场,普通商场
B0FFIW695D,若比邻社区商业中心(广州保利天悦店),113.37571,23.1042796,海珠区,商场,普通商场
B0FFL35WUX,玖零之家,113.3679414,23.1383025,天河区,商场,免税品店
B00140W7XY,乐天棠德广场,113.3763554,23.1345037,天河区,商场,商场
B00141SB6I,旺角商城(棠东丰乐路),113.3784199,23.1325539,天河区,商场,普通商场
B0FFMD783T,鼎富时代广场,113.3836415,23.1342258,天河区,商场,普通商场
B0KDJCEGQ2,下沉商场,113.3792133,23.1045027,海珠区,商场,商场
B00141KEWV,棠汇广场,113.3776324,23.1343927,天河区,商场,普通商场
B00141SB8A,骏唐购物广场,113.3779885,23.1285458,天河区,商场,购物中心
