id,name,longitude,latitude,adname,中类,小类
B00140UEZF,广州大华中英文学校,113.38008238853315,23.210264137331176,天河区,学校,中学
B0FFHRTHVS,广州中学(凤凰校区),113.37988872909818,23.20719636159029,天河区,学校,中学
B0FFKWGZC6,广州中学凤凰校区艺术楼,113.38045437518126,23.20692406854541,天河区,学校,中学
B0HR7UQH22,广州暨大港澳子弟学校,113.35851960222485,23.21474672935076,天河区,学校,中学
B00140TQSL,雄鹰学校,113.29333743722712,23.16085412244852,越秀区,学校,中学
B00140HAFZ,广州市第八十九中学,113.35860185150324,23.194817747831475,天河区,学校,中学
B0H2YCXY1C,广州市第八十九中学(北区),113.35802055555332,23.197084746752846,天河区,学校,中学
B00141ILQC,星海音乐学院附属中等音乐学校,113.29952382210816,23.15213132153921,天河区,学校,中学
B0HAHUHCIV,执信中学(天河校区),113.43295001358872,23.14193830478158,天河区,学校,中学
B0FFIQ8SSX,广州梅沙书院,113.39931599216088,23.16885167984507,天河区,学校,中学
B0I1ASA9EE,帝景山庄三期西区中学(建设中),113.40894795038,23.149432405263514,天河区,学校,中学
B0FFFVHHE1,广州市天河区同仁学校,113.42441606824462,23.134921005534967,天河区,学校,中学
B0FFIB50JS,科韵路学校,113.37191040683076,23.134746693429896,天河区,学校,中学
B00140UTEF,天骄学校,113.3697366146171,23.13563058557223,天河区,学校,中学
B00140HBBF,广州奥林匹克中学(高中部),113.39308165618245,23.136754377219884,天河区,学校,中学
B00141JJL3,君诚博雅实验学校,113.20860043005614,23.107390226070983,荔湾区,学校,中学
B00140W69B,荔湾区博雅中英文学校,113.19943000320768,23.06429675282669,荔湾区,学校,中学
B0IUM7955M,广东实验中学荔湾学校(花地湾校区),113.22777106101204,23.086810957617622,荔湾区,学校,中学
B0FFH81TNK,公安宿舍一中,113.32116860067762,23.06314215532697,海珠区,学校,中学
B00141JJ0K,春华学校,113.31869876702194,23.062059337195446,海珠区,学校,中学
B00140UFP7,广州市新滘中学(土华校区),113.350158779089,23.070842122271703,海珠区,学校,中学
B0FFGIO2MU,广州市第四中学(逸园校区),113.20094496988098,23.11233983738317,荔湾区,学校,中学
B00140UFIB,广州市第一中学红岩学校,113.2093201579514,23.1094552648328,荔湾区,学校,中学
B00140RFHO,荔湾区新晖学校,113.23639370330272,23.08331544402946,荔湾区,学校,中学
