id,name,longitude,latitude,adname,中类,小类
B0J23Z29A0,啊莹小李车标便利店,113.24919617510588,23.11596368633377,越秀区,便民商店/便利店,便民商店/便利店
B0H6DS77CV,AG便利店(金天成印刷包装城店),113.24630641683984,23.06231152866052,荔湾区,便民商店/便利店,便民商店/便利店
B00141V4YB,华润万家便利超市(北瑜翠园店),113.3589051,23.2135606,天河区,便民商店/便利店,便民商店/便利店
B0HUY5T81E,乐百惠生活超市,113.3596178,23.2175622,天河区,超级市场,超市
B0JRP1Y4ON,8836乐百惠便利店,113.3597127,23.2175651,天河区,便民商店/便利店,便民商店/便利店
B0J6ZKBFNN,燕塘牛奶(渔西路西三巷店),113.3597546,23.2172241,天河区,综合市场,农副产品市场
B0FFFDZ09M,麦多多超市(瑜翠园店),113.3590439,23.2131406,天河区,超级市场,超市
B0FFLE5DD8,裕昌隆金鸡生活超市,113.3602868,23.2190128,天河区,便民商店/便利店,便民商店/便利店
B0FFLF7I9P,果蔬家园(瑜翠园店),113.3591698,23.2131904,天河区,综合市场,果品市场
B0FFLKIFJ9,永福超市(中山四巷店),113.3598723,23.219945,天河区,便民商店/便利店,便民商店/便利店
B00141J35K,好多多便利店,113.3574575,23.2105247,天河区,便民商店/便利店,便民商店/便利店
B00141PQ8S,华实惠百货(渔西路分店),113.3605304,23.2186066,天河区,便民商店/便利店,便民商店/便利店
B0HAA76AR4,钱大妈(瑜翠园店),113.3595632,23.21276,天河区,综合市场,农副产品市场
B0FFLKH56V,大众生活超市,113.3603567,23.2188757,天河区,超级市场,超市
B0FFFVTJ3Y,新津便利店,113.3575633,23.2104866,天河区,便民商店/便利店,便民商店/便利店
B0GU9YS9ZG,嘉兴百货(中山四巷店),113.3602787,23.2200574,天河区,便民商店/便利店,便民商店/便利店
B0H6L5EOB0,时令鲜果园,113.359044,23.211743,天河区,综合市场,果品市场
B0FFK8WX0R,金记便利店,113.360876,23.2180333,天河区,便民商店/便利店,便民商店/便利店
B0FFM181MK,友邻便利店(荟龙路店),113.3586457,23.2107919,天河区,便民商店/便利店,便民商店/便利店
B0FFIK6287,佰佳士多店,113.3616659,23.2184111,天河区,便民商店/便利店,便民商店/便利店
B0FFHY6KWZ,吉祥百货(金鸡东大街路店),113.36229,23.2184033,天河区,便民商店/便利店,便民商店/便利店
B0HUAC9REY,福美来百货(金鸡西街二巷路店),113.3620293,23.2191264,天河区,便民商店/便利店,便民商店/便利店
B0HA6K36YD,佳强批发部(迎龙路),113.359905,23.2090308,天河区,便民商店/便利店,便民商店/便利店
B0G1OAF433,德言批发部,113.3642505,23.2174412,天河区,便民商店/便利店,便民商店/便利店
B00141PPWI,东发百货(渔西路店),113.3644094,23.2158625,天河区,便民商店/便利店,便民商店/便利店
B0FFLJH05B,好运来百货,113.3644773,23.2162013,天河区,便民商店/便利店,便民商店/便利店
B0FFFVTVSG,永鑫商店,113.3644832,23.2181756,天河区,便民商店/便利店,便民商店/便利店
B0FFLF9A6R,新粤佳百货(渔西路店),113.3644923,23.2157464,天河区,便民商店/便利店,便民商店/便利店
B0JAGS8EYK,福盛源超市,113.3652005,23.2141431,天河区,便民商店/便利店,便民商店/便利店
B0IKSHZOJG,美惠嘉便利店,113.3649898,23.2134476,天河区,便民商店/便利店,便民商店/便利店
B0HDXM8VFD,广盛百货,113.3650817,23.2137274,天河区,便民商店/便利店,便民商店/便利店
B0FFG1JCB6,美佳惠百货,113.365657,23.2140446,天河区,便民商店/便利店,便民商店/便利店
B0JGH6RW99,广州顺铭烟茶批发商行,113.3659092,23.2204611,天河区,便民商店/便利店,便民商店/便利店
B0H2K58AQI,和园小卖部,113.3578055,23.1877555,天河区,便民商店/便利店,便民商店/便利店
B0FFFX1LXX,绿港小卖部,113.3584894,23.1888871,天河区,便民商店/便利店,便民商店/便利店
B00141UN8B,龙声加油站-便利店,113.3574639,23.1893504,天河区,便民商店/便利店,便民商店/便利店
B0FFFA14RZ,紫薇小卖部,113.3605268,23.1845699,天河区,便民商店/便利店,便民商店/便利店
B0JKT62WME,东益便利店,113.3443951,23.1856206,天河区,便民商店/便利店,便民商店/便利店
B0FFFQ863F,广州市德闽睿贸易有限公司,113.3432663,23.1841161,天河区,综合市场,综合市场
B0FFGOF3VR,卓亲商行,113.3475785,23.183533,天河区,便民商店/便利店,便民商店/便利店
B00141PQI3,乐众超市(育龙居店),113.3575856,23.1908197,天河区,超级市场,超市
B0G1XXHSCQ,便民店,113.3542282,23.1858075,天河区,便民商店/便利店,便民商店/便利店
B0JUY9SDLQ,喜洋洋便利店,113.3540923,23.1868603,天河区,便民商店/便利店,便民商店/便利店
B0FFLEAYWT,燕塘牛奶(保利林海山庄店),113.3559322,23.1908441,天河区,综合市场,农副产品市场
B0JRMGIXGC,老二商行,113.3528455,23.1853348,天河区,便民商店/便利店,便民商店/便利店
B00141UMK3,长湴加油站-便利店,113.3521595,23.1861995,天河区,便民商店/便利店,便民商店/便利店
B0FFG1Z14O,壳牌便利店(天源路店),113.3522005,23.1861745,天河区,便民商店/便利店,便民商店/便利店
B00140HLF7,佳美生活超市(兴科路店),113.3498007,23.1838422,天河区,超级市场,超市
B0H6YLBWJQ,老虎兔便利店,113.3372665,23.1872347,天河区,便民商店/便利店,便民商店/便利店
B0JD5XJXTT,一站便利店,113.3373104,23.1873706,天河区,便民商店/便利店,便民商店/便利店
B0GRDSGN95,美惠佳商店(长新楼店),113.3504724,23.1854935,天河区,便民商店/便利店,便民商店/便利店
B0GKHAY0N9,佳美百货(兴科西街店),113.3498386,23.1838321,天河区,便民商店/便利店,便民商店/便利店
B0FFKR15YM,恒盛批发部(广州市天河区元岗袁发百货商行),113.337067,23.1862354,天河区,便民商店/便利店,便民商店/便利店
B0FFIPEYBF,勇记水产,113.3371119,23.1858375,天河区,综合市场,水产海鲜市场
B0FFIQDT5I,林记冻品商行,113.337095,23.1855067,天河区,综合市场,农副产品市场
B0FFLKOD5D,勇记食材供应链,113.337077,23.1858246,天河区,综合市场,水产海鲜市场
B0FFMB6JGP,鼎鸿批发商行,113.3382195,23.1902039,天河区,便民商店/便利店,便民商店/便利店
B0FFKOI9A0,牛尚冻品,113.3369232,23.1873223,天河区,综合市场,农副产品市场
B0HRV7UEYT,鸿耀商行,113.337055,23.1863094,天河区,便民商店/便利店,便民商店/便利店
B0G0PK9R2M,谷裕士多,113.3369761,23.1873642,天河区,便民商店/便利店,便民商店/便利店
B0FFM62SX0,阿祥冻品商行,113.3371629,23.1848298,天河区,综合市场,农副产品市场
B0KBO1GTH6,博豪湘菜原料商行,113.3371039,23.1857965,天河区,综合市场,农副产品市场
B0FFIMWDM3,湘之宝干货,113.3369751,23.1871073,天河区,综合市场,农副产品市场
B0G2XOT5JK,祥红便利店,113.3369112,23.1875622,天河区,便民商店/便利店,便民商店/便利店
B0FFG33CP4,诚信香料批发,113.3368742,23.1878892,天河区,综合市场,农副产品市场
B0FFMEBPAI,行知贸易,113.3368545,23.1850653,天河区,综合市场,农副产品市场
B0JUUSJTCK,灿泰商店,113.3368474,23.1870186,天河区,便民商店/便利店,便民商店/便利店
B0HBTA1EK9,陈聪果蔬批发配送,113.3366109,23.1857195,天河区,综合市场,农副产品市场
B0FFKDOU6P,湘益土菜原料配送中心,113.3368255,23.1850253,天河区,综合市场,农副产品市场
B0J2HKYRNQ,美宜佳,113.3369571,23.1882449,天河区,便民商店/便利店,便民商店/便利店
B0GD7Y8MWY,weillbo,113.3371436,23.1891392,天河区,商场,免税品店
