小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude
骏景花园,天河-棠下-中山大道190号,50054,2.17,0.4,1,2.8,False,True,False,40.82838390336552,116.4898502468795
富力天朗明居,天河-车陂-车陂路407号,43478,3.31,0.32,1,1.2,True,False,False,23.126222024676977,113.39947347621538
帝景苑,天河-天河北-天河北路550-590号,67770,1.34,0.3,1,2.79,True,False,False,23.146769774210373,113.34262762559615
盈彩美居,天河-东圃-盈溪路,52583,2.88,0.3,1,1.2,True,False,False,23.12432511045114,113.41569687372022
美林湖畔花园,天河-东圃-桃园南一街,61405,2.0,0.3,1,0.9,True,False,False,23.13035783510465,113.36850942427998
美林海岸花园,天河-员村-棕林街61号,74520,2.44,0.33,1,1.2,True,False,False,40.82838390336552,116.4898502468795
南国花园,天河-珠江新城东-平月路161号,103521,2.0,0.4,1,2.0,True,False,False,23.11985641173335,113.35210762330091
中海康城花园,天河-黄村-广园快速路,44901,1.74,0.4,1,2.37,True,False,False,23.132455976133322,113.41956767216145
世纪绿洲,天河-龙洞-品翠街30号,44157,2.5,0.4,1,1.8,True,False,False,23.13035783510465,113.36850942427998
东方新世界,天河-天河公园-中山大道西158号,83622,3.99,0.42,1,2.3,False,True,False,23.139163108071326,113.36632600290815
金燕花苑,天河-燕塘-粤垦路614-624号,35440,3.8,0.35,1,1.0,False,False,True,23.162700229341745,113.33546381881754
乐意居花苑,天河-长兴-美景街18号,36173,1.84,0.3,1,0.75,True,False,False,23.13035783510465,113.36850942427998
芳草园小区,天河-天河北-天河北路571号,81008,3.8,0.38,1,2.3,False,False,True,23.147608664863654,113.34348892091883
旭景家园,天河-东圃-中山大道,41476,2.15,0.36,1,0.9,True,False,False,23.126563682385086,113.40897413494686
碧海湾,天河-珠江新城西-临江大道39号,106060,3.5,0.3,1,2.8,True,False,False,23.13035783510465,113.36850942427998
宝翠园,天河-龙洞-宝翠路4号,58707,2.66,0.45,1,1.9,False,True,False,23.196824995212097,113.3699550673367
保利心语花园,天河-珠江新城中-金穗路70号,112531,4.54,0.36,1,2.6,False,True,False,23.128341916780332,113.33668749058282
东圃广场,天河-东圃-黄村西路8号,41175,3.41,0.35,1,1.2,False,False,True,23.128373655912362,113.41113734444474
天鹅花苑,天河-长兴-长兴路129号,33980,2.51,0.2,1,0.75,True,False,False,23.174841894714152,113.3579246904594
棠德花苑,天河-棠东-棠德西路56号,25548,2.5,0.3,1,0.54,False,False,True,23.13954211831727,113.39016595316848
星汇园,天河-珠江新城西-华明路,94280,5.47,0.35,1,2.3,True,False,False,23.12490341043514,113.33991222770148
君林天下,天河-龙洞-绿洲街38号,43391,2.3,0.45,1,2.4,False,True,False,23.19597072108756,113.37346672323515
羊城花园,天河-东圃-中山大道前进1号,36408,2.12,0.25,1,1.0,False,False,True,23.126563682385086,113.40897413494686
天雅居,天河-黄村-黄村路138号,31558,2.1,0.29,1,1.2,False,False,True,40.82838390336552,116.4898502468795
天一庄,天河-员村-康湖大街,54160,2.5,0.35,1,1.78,False,True,False,40.82838390336552,116.4898502468795
跑马地花园,天河-珠江新城东-黄埔大道西868号,61809,3.27,0.23,1,1.7,False,False,True,23.12490341043514,113.33991222770148
加拿大花园,天河-天河公园-枫叶路8号,38294,4.62,0.45,1,1.6,False,False,True,23.14258271828587,113.37381275051747
美好居,天河-车陂-中山大道中29号,37011,3.0,0.32,1,1.0,False,False,True,23.126222024676977,113.39947347621538
跑马地花园三期,天河-珠江新城东-平云路177号,54373,3.0,0.4,1,0.9,False,True,False,23.13035783510465,113.36850942427998
广海花园,天河-天河公园-建中路7号,40420,1.2,0.4,1,0.5,False,False,True,23.134028666973904,113.37926735140282
华景新城(天河),天河-天河公园-华景路109号,52892,1.67,0.3,1,1.9,False,False,True,23.146215661507952,113.36609244347562
阳光桃源,天河-东圃-桃园路3号,48277,2.3,0.4,1,2.8,False,True,False,23.119307504461883,113.41863720731452
城市假日园,天河-东圃-旭景西路,63469,3.22,0.25,1,1.6,False,True,False,23.12432511045114,113.41569687372022
侨怡苑,天河-天河北-天河北路382-388号,61118,2.24,0.4,1,0.68,False,False,True,23.146950961084563,113.33622872595903
东方新世界熹园,天河-天河公园-中山大道西158号,108935,3.75,0.42,1,2.3,False,True,False,23.139163108071326,113.36632600290815
富力新村,天河-东圃-东圃大马路,32088,2.1,0.15,1,0.6,False,False,True,23.12432511045114,113.41569687372022
华港花园,天河-天河公园-东方一路24号,61074,3.63,0.3,1,1.5,True,False,False,23.1387009334356,113.36498707854597
体育西小区,天河-体育西路-体育西横街,48504,2.0,0.4,1,2.0,False,False,True,23.134587400181903,113.33126154564324
东方之珠花园,天河-天河北-天河北路715号,54096,4.11,0.4,1,2.0,False,False,True,23.14744600456382,113.35076025486696
华南御景园,天河-岑村-岑村路,46219,1.24,0.48,1,1.8,False,True,False,40.82838390336552,116.4898502468795
名雅苑(天河),天河-体育中心-华康街9号,62770,1.8,0.4,1,0.9,False,False,True,23.143232385236846,113.33157505426612
五山花园,天河-五山-茶山路225号,59048,2.14,0.35,1,0.7,False,False,True,23.154313368591847,113.35982990661488
阳华国花苑,天河-车陂-天坤三路,52764,3.0,0.25,1,2.1,True,False,False,23.131891833450005,113.40045622244298
安厦花园,天河-东圃-安厦一街,37600,3.46,0.31,1,1.5,False,True,False,23.12432511045114,113.41569687372022
新燕花园,天河-燕塘-燕岭路28号,46670,2.05,0.42,1,1.5,True,False,False,23.168465410368526,113.33456901669933
新世界东逸花园,天河-天河公园-东方三路200号,89716,2.15,0.35,1,2.0,False,True,False,23.134530571514112,113.36595769764918
金田花苑,天河-天河北-天河北路333-560号,56814,8.62,0.43,1,1.5,False,False,True,23.147109800543056,113.33698896191187
瑜翠园,天河-龙洞-荟龙路10号,33521,2.48,0.3,1,1.96,False,True,False,23.215594961194025,113.37128707474646
保利丰兴广场,天河-体育中心-天河南二路27号,63358,2.5,0.35,1,1.95,True,False,False,23.143232385236846,113.33157505426612
广氮新村,天河-车陂-车陂北街22号,23875,6.0,0.3,1,0.6,False,False,True,23.13035783510465,113.36850942427998
富力花园,天河-东圃-富力街1-39号,27000,2.0,0.15,1,0.6,False,False,True,23.12432511045114,113.41569687372022
东晖花园,天河-天河公园-天府路153号,70835,3.0,0.3,1,1.5,False,False,True,23.135434177679596,113.36908469912838
荟雅苑,天河-林和-天河北路253号,67723,3.12,0.26,1,2.7,False,False,True,23.148595754392343,113.33302114647562
珠江嘉苑,天河-岑村-沐陂西路18号,33620,2.5,0.3,1,2.8,False,True,False,40.82838390336552,116.4898502468795
育龙居,天河-龙洞-天源路1111号,37168,2.3,0.4,1,1.0,False,False,True,23.194958323947255,113.36940683148416
富力院士庭,天河-东莞庄-东莞庄路72号,55830,3.2,0.3,1,2.8,False,True,False,23.156957142787252,113.34267388832988
富力天河华庭,天河-林和-华庭路3-5号,99275,2.5,0.3,1,2.5,False,True,False,23.15044214534278,113.33508087117876
金海花园,天河-天河北-天河北路614号,71612,2.83,0.3,1,2.5,False,False,True,23.146837978927074,113.3452175302111
名门大厦,天河-珠江新城西-花城大道2-12号,51891,7.5,0.1,1,2.1,False,True,False,23.13035783510465,113.36850942427998
