小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
富力天朗明居,天河-车陂-车陂路407号,43478,3.31,0.32,1,1.2,True,False,False,23.126222024676977,113.39947347621538,62.46003850168235,498.3418105101127,190.25666139742577,884.1772439039592,633.1868015648868,68.28477963695022,1051.5442949423257,8343.516491286819,6438.5631458352855,1438.2153533177627,412100,POINT (113.3994734762154 23.12622202467698),True,False,False,False
帝景苑,天河-天河北-天河北路550-590号,67770,1.34,0.3,1,2.79,True,False,False,23.146769774210373,113.34262762559617,171.28836172645336,1078.12090891833,483.13121264311417,436.1925105707402,853.1637920766015,616.2417520243125,697.6124835228903,3544.8982835586685,3683.474203327788,3522.31071719864,76700,POINT (113.3426276255962 23.14676977421037),True,False,False,False
盈彩美居,天河-东圃-盈溪路,52583,2.88,0.3,1,1.2,True,False,False,23.12432511045114,113.41569687372022,391.8850832536738,2308.950205967463,504.3538029276185,1900.678320511832,339.4506869217724,872.1701361029817,505.6765076879285,10131.858746217096,8052.817013088043,2068.596693474869,319300,POINT (113.4156968737202 23.12432511045114),True,False,False,False
美林湖畔花园,天河-东圃-桃园南一街,61405,2.0,0.3,1,0.9,True,False,False,23.13035783510465,113.36850942427998,283.4208290143868,1400.7519429152017,885.661496146627,941.1593162671574,279.44827112125864,601.9733650970317,576.1710106690712,4998.925106764979,3933.3260673392856,2104.807143233811,159300,POINT (113.36850942428 23.13035783510465),True,False,False,False
南国花园,天河-珠江新城东-平月路161号,103521,2.0,0.4,1,2.0,True,False,False,23.11985641173335,113.35210762330092,119.69115892114075,684.3040413222775,550.7766300144267,682.4746170803741,194.17178040394023,241.30049175088507,1089.964600369152,3052.4897955008846,2016.6574610968216,691.9360859982213,262100,POINT (113.3521076233009 23.11985641173335),True,False,False,False
中海康城花园,天河-黄村-广园快速路,44901,1.74,0.4,1,2.37,True,False,False,23.13245597613332,113.41956767216143,243.803573249758,2768.1070723923617,962.2318445539609,1945.53160637207,304.542502652198,372.4933882951692,460.4660296135685,10637.359379608732,8765.650980644099,3059.1586743093403,115100,POINT (113.4195676721614 23.13245597613332),True,False,False,False
世纪绿洲,天河-龙洞-品翠街30号,44157,2.5,0.4,1,1.8,True,False,False,23.13035783510465,113.36850942427998,283.4208290143868,1400.7519429152017,885.661496146627,941.1593162671574,279.44827112125864,601.9733650970317,576.1710106690712,4998.925106764979,3933.3260673392856,2104.807143233811,159300,POINT (113.36850942428 23.13035783510465),True,False,False,False
东方新世界,天河-天河公园-中山大道西158号,83622,3.99,0.42,1,2.3,False,True,False,23.13916310807133,113.36632600290817,446.3008249263247,866.8981330211706,203.5248106370054,1542.0141150734948,438.8908385896469,545.9997841823324,1001.1801679865848,5079.391828629219,4621.407096302718,3082.062562051649,254100,POINT (113.3663260029082 23.13916310807133),True,False,False,False
金燕花苑,天河-燕塘-粤垦路614-624号,35440,3.8,0.35,1,1.0,False,False,True,23.162700229341745,113.33546381881754,84.51225113655505,941.693530223088,418.8355766691743,1168.6660559709048,1137.203039505987,220.5589784237672,589.4949683257441,4850.844019567533,4086.012062096872,5078.158318163463,52000,POINT (113.3354638188175 23.16270022934174),True,False,False,False
乐意居花苑,天河-长兴-美景街18号,36173,1.84,0.3,1,0.75,True,False,False,23.13035783510465,113.36850942427998,283.4208290143868,1400.7519429152017,885.661496146627,941.1593162671574,279.44827112125864,601.9733650970317,576.1710106690712,4998.925106764979,3933.3260673392856,2104.807143233811,159300,POINT (113.36850942428 23.13035783510465),True,False,False,False
芳草园小区,天河-天河北-天河北路571号,81008,3.8,0.38,1,2.3,False,False,True,23.14760866486365,113.34348892091884,92.63594803983312,1211.0134659633811,614.1265935223089,566.8285463462518,769.6217950014071,744.0230016055758,574.4452233078133,3676.0231510113817,3807.233377920762,3631.023494486464,69700,POINT (113.3434889209188 23.14760866486365),True,False,False,False
旭景家园,天河-东圃-中山大道,41476,2.15,0.36,1,0.9,True,False,False,23.12656368238509,113.40897413494686,338.6073340804092,1537.9129529337706,209.1066375452344,1175.748653955152,342.3684517708254,1018.4186705866072,114.00040746288116,9399.825557104166,7428.961452867473,1844.273690437012,322000,POINT (113.4089741349469 23.12656368238509),True,False,False,False
碧海湾,天河-珠江新城西-临江大道39号,106060,3.5,0.3,1,2.8,True,False,False,23.13035783510465,113.36850942427998,283.4208290143868,1400.7519429152017,885.661496146627,941.1593162671574,279.44827112125864,601.9733650970317,576.1710106690712,4998.925106764979,3933.3260673392856,2104.807143233811,159300,POINT (113.36850942428 23.13035783510465),True,False,False,False
宝翠园,天河-龙洞-宝翠路4号,58707,2.66,0.45,1,1.9,False,True,False,23.196824995212097,113.3699550673367,306.086681831424,5831.07995890825,925.0825762125504,349.1817318786933,268.1313876633796,759.9495110425765,320.75085848890427,9875.11500903984,9471.244587477053,9463.923433866155,14700,POINT (113.3699550673367 23.1968249952121),True,False,False,False
保利心语花园,天河-珠江新城中-金穗路70号,112531,4.54,0.36,1,2.6,False,True,False,23.12834191678033,113.33668749058282,74.61796337895741,772.3093238198998,264.3695058103983,955.1974979757696,210.2153580074856,578.5065254923089,636.7333156729334,1600.386561137657,2848.7352844789843,1386.8967190270223,274500,POINT (113.3366874905828 23.12834191678033),True,False,False,False
