id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0JUPLZF1W,渔乐水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],朗环路与大朗中路交叉口南60米,113.244034,23.238373,113.2387025,23.2410127,[],广东省,广州市,白云区,风景名胜,公园广场,水族馆
B0FFKTQNZV,百花广场,风景名胜;公园广场;城市广场|购物服务;超级市场;超市,110105|060400,[],花都湖百花商业广场,113.22312,23.379713,113.2177677,23.3823033,13416164422,广东省,广州市,花都区,风景名胜,公园广场,城市广场
B0FFFV3N42,考拉广场,风景名胜;公园广场;城市广场|购物服务;便民商店/便利店;便民商店/便利店,110105|060200,[],汉溪大道东299号长隆野生动物世界内(南侧),113.315033,23.000031,113.3096383,23.002696,020-84783333,广东省,广州市,番禺区,风景名胜,公园广场,城市广场
B0IUPDSJHU,广州永庆坊,风景名胜;风景名胜;风景名胜|购物服务;特色商业街;特色商业街,110200|061000,[],恩宁路99号,113.237495,23.114821,113.2321701,23.1175046,020-87600688,广东省,广州市,荔湾区,风景名胜,风景名胜,风景名胜
B0KASDJT94,广州乐富水族店,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],昌盛南街与昌盛大街交叉口东北120米,113.26074,23.095859,113.2554148,23.098551,[],广东省,广州市,海珠区,风景名胜,公园广场,水族馆
B0FFGKUQ0O,南漖商店,风景名胜;公园广场;城市广场|购物服务;便民商店/便利店;便民商店/便利店,110105|060200,[],东沙街南教村聚龙坊188号,113.245422,23.046069,113.2401036,23.048784,[],广东省,广州市,荔湾区,风景名胜,公园广场,城市广场
B0IGHDCUBV,德洋水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],聚龙大道与聚龙路交叉口西南220米,113.195921,23.083477,113.1905527,23.0861265,13928992287,广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0KDGNBW23,巴斯水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],萦芳路与花绿路交叉口西北180米,113.192833,23.064938,113.1874607,23.06759,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0JUA6NOBP,鑫海水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],龙溪沙溪六街与龙溪南边二街交叉口西280米,113.183472,23.072662,113.1780826,23.075294,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0K6JHQAON,红润水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],增滘南约大街与龙溪大道交叉口北100米,113.209343,23.072124,113.2039957,23.0747988,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0K6LUBYXB,茶涧水族店,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],增南路与洪石坊东街交叉口南120米,113.212784,23.067236,113.2074415,23.0699175,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
B0KBORH8D9,鱼之乐水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],市场南路与花博大道交叉口东80米,113.20445,23.062798,113.1990964,23.0654698,[],广东省,广州市,荔湾区,风景名胜,公园广场,水族馆
