小区,小区地址,PRI,AGE,YEAR,FAR,GRE,CAR,PRO,物业类型
骏景花园,天河-棠下-中山大道190号,50054,2005年,70年,2.17,40.0%,1,2.80元/平米/月,住宅
富力天朗明居,天河-车陂-车陂路407号,43478,2002年,70年,3.31,31.7%,1,1.20元/平米/月,住宅
帝景苑,天河-天河北-天河北路550-590号,67770,2001年,70年,1.34,30.0%,1,2.79元/平米/月,住宅
盈彩美居,天河-东圃-盈溪路,52583,2003年,70年,2.88,30.0%,1,1.20元/平米/月,住宅
美林湖畔花园,天河-东圃-桃园南一街,61405,2004年,70年,2.00,30.0%,1,0.90元/平米/月,住宅
美林海岸花园,天河-员村-棕林街61号,74520,2004年,70年,2.44,33.4%,1,1.20元/平米/月,住宅
兰亭盛荟,天河-东圃-东圃明镜路,68941,2021年,70年,3.80,62.0%,1,3.50元/平米/月,住宅
南国花园,天河-珠江新城东-平月路161号,103521,2001年,70年,2.00,40.0%,1,2.00元/平米/月,住宅
中海康城花园,天河-黄村-广园快速路,44901,2004年,70年,1.74,40.0%,1,2.37元/平米/月,住宅
天健上城,天河-车陂-天坤三路,59783,2016年,70年,2.80,35.0%,1,3.20元/平米/月,住宅
万科云城米酷,天河-天河智慧城-华旭街,21254,2017年,50年,4.51,30.0%,1,4.50元/平米/月,商住楼
远洋天骄,天河-天河客运站-元岗路68号,45872,2019年,70年,2.37,30.0%,1,3.80元/平米/月,住宅
天河星作,天河-车陂-合景路99号,37283,2018年,70年,2.62,33.0%,1,3.20元/平米/月,住宅
翠湖山庄,天河-员村-黄埔大道萝斗岗1号,50125,1998年,70年,5.66,70.0%,1,1.45元/平米/月,住宅
江源半岛,天河-车陂-车陂路,62765,2011年,70年,2.11,35.0%,1,2.30元/平米/月,住宅
世纪绿洲,天河-龙洞-品翠街30号,44157,2003年,70年,2.50,40.0%,1,1.80元/平米/月,住宅
东方新世界,天河-天河公园-中山大道西158号,83622,2011年,70年,3.99,42.0%,1,2.30元/平米/月,住宅
金燕花苑,天河-燕塘-粤垦路614-624号,35440,1999年,70年,3.80,35.0%,1,1.00元/平米/月,住宅
星汇云锦,天河-珠江新城西-华明路4号,89873,2010年,70年,2.50,22.0%,1,4.50元/平米/月,住宅
乐意居花苑,天河-长兴-美景街18号,36173,2003年,70年,1.84,30.0%,1,0.75元/平米/月,住宅
芳草园小区,天河-天河北-天河北路571号,81008,1998年,70年,3.80,38.0%,1,2.30元/平米/月,住宅
旭景家园,天河-东圃-中山大道,41476,2002年,70年,2.15,36.0%,1,0.90元/平米/月,住宅
碧海湾,天河-珠江新城西-临江大道39号,106060,2002年、2004年,70年,3.50,30.0%,1,2.80元/平米/月,住宅
宝翠园,天河-龙洞-宝翠路4号,58707,2015年,70年,2.66,45.2%,1,1.90元/平米/月,住宅
保利心语花园,天河-珠江新城中-金穗路70号,112531,2008年,70年,4.54,36.0%,1,2.60元/平米/月,住宅
东圃广场,天河-东圃-黄村西路8号,41175,1999年,70年,3.41,35.0%,1,1.20元/平米/月,住宅
天鹅花苑,天河-长兴-长兴路129号,33980,2003年,70年,2.51,20.0%,1,0.75元/平米/月,住宅
天誉花园,天河-林和-林和中路,64525,1999年,70年,6.00,30.0%,1,2.00元/平米/月,住宅
棠德花苑,天河-棠东-棠德西路56号,25548,1997年,70年,2.50,30.0%,1,0.54元/平米/月,住宅
星汇园,天河-珠江新城西-华明路,94280,2002年,70年,5.47,35.0%,1,2.30元/平米/月,住宅
中怡城市花园,"天河-林和-林和东路,近林乐路",88897,2003年,70年,5.84,38.0%,1,2.50元/平米/月,住宅
君林天下,天河-龙洞-绿洲街38号,43391,2008年,70年,2.30,45.0%,1,2.40元/平米/月,住宅
合生帝景山庄,天河-珠吉-悦景路11号,78527,2011年,70年,0.50,50.0%,1,6.80元/平米/月,别墅
羊城花园,天河-东圃-中山大道前进1号,36408,1999年,70年,2.12,25.0%,1,1.00元/平米/月,住宅
天雅居,天河-黄村-黄村路138号,31558,1999年,70年,2.10,29.0%,1,1.20元/平米/月,住宅
天一庄,天河-员村-康湖大街,54160,2006年,70年,2.50,35.0%,1,1.78元/平米/月,住宅
嘉裕公馆,天河-珠江新城中-花城大道80号,162664,2015年,70年,5.96,30.7%,1,3.50元/平米/月,住宅
跑马地花园,天河-珠江新城东-黄埔大道西868号,61809,1998年,70年,3.27,23.0%,1,1.70元/平米/月,住宅
侨乐新村,天河-沙太南-沙太南路,29631,1995年,70年,2.99,40.0%,1,0.60元/平米/月,住宅
华润天合,天河-珠吉-大灵山路400号,60018,2018年、2019年,70年,2.10,35.0%,1,3.50元/平米/月,住宅
合景睿峰,天河-珠江新城东-海乐路12号,45541,2013年,70年,6.65,30.0%,1,6.48元/平米/月,商住楼
加拿大花园,天河-天河公园-枫叶路8号,38294,1998年,70年,4.62,45.0%,1,1.60元/平米/月,住宅
美好居,天河-车陂-中山大道中29号,37011,1998年,70年,3.00,32.0%,1,1.00元/平米/月,住宅
中海花城湾,天河-珠江新城中-花城大道86号,176833,2007年,70年,9.63,35.0%,1,3.29元/平米/月,住宅
嘉裕君玥公馆,天河-珠江新城西-花城大道39号,103357,2008年,70年,8.78,30.0%,1,3.50元/平米/月,住宅
跑马地花园三期,天河-珠江新城东-平云路177号,54373,2006年,70年,3.00,40.0%,1,0.90元/平米/月,住宅
信达金茂府,天河-沙河-广州大道北920号,64878,2020年,70年,3.00,35.0%,1,暂无,住宅
橡树园,天河-沙太南-沙太南路316号,41544,2009年,70年,1.90,45.0%,1,1.30元/平米/月,住宅
广海花园,天河-天河公园-建中路7号,40420,1998年,70年,1.20,40.0%,1,0.50元/平米/月,住宅
汇景新城棕榈园,天河-汇景新城-汇景南路,80300,2004年,70年,2.00,65.0%,1,2.60元/平米/月,住宅
华景新城(天河),天河-天河公园-华景路109号,52892,1998年,70年,1.67,30.0%,1,1.90元/平米/月,住宅
阳光桃源,天河-东圃-桃园路3号,48277,2012年,70年,2.30,40.0%,1,2.80元/平米/月,住宅
侨鑫汇悦台,天河-珠江新城东-临江大道417-431号,291917,2014年,70年,7.09,35.0%,1,8.00元/平米/月,住宅
城市假日园,天河-东圃-旭景西路,63469,2006年,70年,3.22,25.0%,1,1.60元/平米/月,住宅
侨怡苑,天河-天河北-天河北路382-388号,61118,1991年,70年,2.24,40.0%,1,0.68元/平米/月,住宅
东方新世界熹园,天河-天河公园-中山大道西158号,108935,2009年,70年,3.75,42.0%,1,2.30元/平米/月,住宅
富力新村,天河-东圃-东圃大马路,32088,1998年,70年,2.10,15.0%,1,0.60元/平米/月,住宅
华港花园,天河-天河公园-东方一路24号,61074,2004年,70年,3.63,30.0%,1,1.50元/平米/月,住宅
体育西小区,天河-体育西路-体育西横街,48504,1991年,70年,2.00,40.0%,1,2.00元/平米/月,住宅
瑞安创逸,天河-天河北-天河北路622号,82632,2016年,70年,7.46,30.0%,1,4.00元/平米/月,住宅
东方之珠花园,天河-天河北-天河北路715号,54096,1999年,70年,4.11,40.0%,1,2.00元/平米/月,住宅
广氮花园,天河-棠下-广氮大道,41850,2013年,70年,4.00,36.0%,1,3.00元/平米/月,住宅
华南御景园,天河-岑村-岑村路,46219,2009年,70年,1.24,48.5%,1,1.80元/平米/月,住宅
名雅苑(天河),天河-体育中心-华康街9号,62770,1994年,70年,1.80,40.0%,1,0.90元/平米/月,住宅
保利中辰广场,天河-龙口西-龙口西路3号,76113,2012年,70年,2.50,34.1%,1,2.95元/平米/月,住宅
凯旋新世界枫丹丽舍,天河-珠江新城东-海风路,191934,2009年,70年,2.64,44.5%,1,6.50元/平米/月,住宅
珠光新城御景(二期),天河-珠江新城东-花城大道,120706,2020年,70年,3.91,30.0%,1,5.00元/平米/月,住宅
五山花园,天河-五山-茶山路225号,59048,1999年,70年,2.14,35.0%,1,0.70元/平米/月,住宅
领峰,天河-珠江新城中-金穗路,107180,2008年,70年,8.30,40.0%,1,4.20元/平米/月,住宅
嘉尚国际公寓,天河-林和-沾益直街89-93号,69437,2010年,70年,1.10,30.0%,1,3.00元/平米/月,住宅
阳华国花苑,天河-车陂-天坤三路,52764,2004年,70年,3.00,25.0%,1,2.10元/平米/月,住宅
安厦花园,天河-东圃-安厦一街,37600,2011年,70年,3.46,31.0%,1,1.50元/平米/月,住宅
东璟花园,天河-员村-员村二横路,61483,2004年,70年,4.99,30.0%,1,1.50元/平米/月,住宅
新燕花园,天河-燕塘-燕岭路28号,46670,2004年,70年,2.05,42.0%,1,1.50元/平米/月,住宅
员村新村,天河-员村-员村二横路,42666,1996年,70年,2.00,25.0%,1,0.50元/平米/月,住宅
侨鑫汇景新城龙熹山,天河-汇景新城-汇景北路146-182号(双号),86659,2012年,70年,2.00,65.0%,1,4.00元/平米/月,住宅
富力盈盛广场,天河-珠江新城东-马场路16号,50450,2013年,70年,2.50,30.0%,1,4.00元/平米/月,住宅
新世界东逸花园,天河-天河公园-东方三路200号,89716,2006年,70年,2.15,35.0%,1,2.00元/平米/月,住宅
金田花苑,天河-天河北-天河北路333-560号,56814,1996年,70年,8.62,43.0%,1,1.50元/平米/月,住宅
穗园小区,天河-龙口西-龙口西路551号,55383,2000年,70年,3.70,60.0%,1,1.10元/平米/月,住宅
天河都市兰亭花园,天河-员村-员村二横路11号,59216,2004年,70年,5.20,38.1%,1,1.50元/平米/月,住宅
瑜翠园,天河-龙洞-荟龙路10号,33521,2008年,70年,2.48,30.0%,1,1.96元/平米/月,住宅
