小区,小区地址,PRI,AGE,YEAR,FAR,GRE,CAR,PRO,物业类型
东风广场,越秀-东风东-东风东路787号,86952,2006年,70年,5.19,33.0%,1,2.70元/平米/月,住宅
捷登都会,越秀-北京路-中山五路70号,25414,2016年,50年,2.50,30.0%,1,6.50元/平米/月,商住楼
富力东堤湾,越秀-中山路-中山一路,81993,2002年,70年,6.96,35.0%,1,1.80元/平米/月,住宅
淘金家园,越秀-淘金-淘金东路62号,80414,2004年,70年,2.97,40.0%,1,1.60元/平米/月,住宅
富力东山新天地,越秀-杨箕-广州大道,118157,2015年,70年,2.50,30.0%,1,6.00元/平米/月,住宅
御江苑,越秀-北京路-南堤二马路36-40号,70194,2011年,70年,3.44,30.0%,1,2.50元/平米/月,住宅
东湖御苑,越秀-东湖-永胜上沙1号,63397,1999年,70年,5.00,30.0%,1,0.90元/平米/月,住宅
中环广场,越秀-建设-建设中马路2-4号,85198,2009年,70年,1.20,25.0%,1,2.50元/平米/月,住宅
瑶台花园,越秀-流花-瑶华中街134号,26467,1996年,70年,2.60,30.0%,1,0.80元/平米/月,住宅
德政中路小区,越秀-农讲所-德政中路217号,41633,1995年,70年,2.60,25.0%,1,0.80元/平米/月,住宅
东山公寓,越秀-东山口-光东前街7号,26752,1999年,70年,2.50,30.0%,1,0.90元/平米/月,住宅
五羊华轩,越秀-五羊新城-东泰路46号,60146,2004年,70年,2.50,30.0%,1,1.70元/平米/月,住宅
锦城花园,越秀-东风东-梅花路34号,79640,2009年,70年,3.20,33.0%,1,3.80元/平米/月,住宅
万科金色家园,越秀-东风东-东风东路746号,95980,2006年,70年,2.40,35.0%,1,2.10元/平米/月,住宅
君汇世家,越秀-水荫路-天河路45号,106387,2008年,70年,5.00,30.0%,1,3.50元/平米/月,住宅
国龙大厦,越秀-小北-环市中路276号,53605,1998年,70年,9.70,10.0%,1,1.80元/平米/月,住宅
梅花村小区,越秀-梅花村-中山一路,68435,1990年,70年,1.20,20.0%,1,0.50元/平米/月,住宅
东山一品,越秀-水荫路-水荫路,84761,2016年,70年,1.63,30.0%,1,2.80元/平米/月,住宅
淘金华庭,越秀-淘金-淘金东路25-29号,57476,2002年,70年,2.50,30.0%,1,0.90元/平米/月,住宅
嘉和苑,越秀-西门口-东风西路148号,50520,1999年,70年,5.00,30.0%,1,2.20元/平米/月,住宅
东湖新村,越秀-东湖-东湖西路1-9号,48858,2000年,70年,4.00,20.0%,1,1.50元/平米/月,住宅
金羊花园,越秀-中山路-中山一路53-1号,68329,1998年,70年,4.22,33.0%,1,0.60元/平米/月,住宅
华侨乐园,越秀-淘金-恒福路240-244-248号,45837,1993年,70年,2.10,30.0%,1,1.80元/平米/月,住宅
东山印象台,越秀-农讲所-中山四路263-289号,77468,2016年,70年,2.50,10.0%,1,3.20元/平米/月,住宅
东山水恋,越秀-东湖-大沙头三马路,81506,2005年,70年,4.51,50.0%,0,暂无,住宅
润粤大厦,越秀-水荫路-天河路35号,68327,1999年,70年,2.50,28.0%,0,2.00元/平米/月,住宅
富力御龙庭,越秀-淘金-淘金路108-138号,72128,2004年,70年,4.04,38.0%,1,2.50元/平米/月,住宅
都市晴川,越秀-东川-元运街31号,79684,2007年,70年,3.50,20.0%,0,3.00元/平米/月,住宅
东山雅筑,越秀-东风东-东风东路776号,93064,2003年,70年,2.50,35.0%,1,3.30元/平米/月,住宅
东方文德广场,越秀-农讲所-文德北路66-72号,110121,2010年,70年,8.20,30.0%,1,3.50元/平米/月,住宅
小东园,越秀-东山口-小东园,85749,2002年,70年,1.90,45.0%,1,0.80元/平米/月,住宅
共和村,越秀-共和路-共和大街,45133,1990年,70年,1.20,27.0%,1,0.50元/平米/月,住宅
福莱花园,越秀-水荫路-水荫直街西6巷23号,46067,1997年,70年,3.50,40.0%,1,3.50元/平米/月,住宅
东海嘉园,越秀-五羊新城-东泰路,94630,2016年,70年,2.60,43.0%,1,1.50元/平米/月,住宅
御景花园,越秀-流花-北站路102-132号,27979,2004年,70年,1.50,70.0%,1,2.70元/平米/月,住宅
骏文雅苑,越秀-北京路-文明路119-123号,82325,2014年,70年,9.49,25.0%,1,3.40元/平米/月,住宅
文德先生,越秀-北京路-珠光路82号,83373,2016年,70年,8.20,30.0%,1,2.80元/平米/月,住宅
华逸锦轩,越秀-五羊新城-东泰路28号,65484,2004年,70年,2.50,52.0%,1,0.90元/平米/月,住宅
华侨新村友爱路小区,越秀-淘金-友爱路,61225,1994年,70年,1.80,36.0%,0,0.60元/平米/月,住宅
东湖北大院,越秀-东湖-合群一马路85号,113484,1995年,70年,4.10,25.0%,1,0.80元/平米/月,住宅
东方广场,越秀-环市东-犀牛路38-44号,72777,1998年,70年,5.18,20.0%,1,1.75元/平米/月,住宅
麓湖大厦,"越秀-麓湖-麓景路126号,128号",55712,1998年,70年,2.80,20.0%,1,1.60元/平米/月,住宅
麓湖御景,越秀-淘金-麓苑路39号,50797,1999年,70年,7.05,30.0%,1,2.50元/平米/月,住宅
东川路白云楼,越秀-东川-东华南路159号,51948,2000年,70年,2.50,36.0%,0,0.90元/平米/月,住宅
方凯华庭,越秀-小北-应元路5号,71160,2005年,70年,9.09,30.0%,1,2.00元/平米/月,住宅
恒鑫御园,越秀-盘福-解放北路680号,75693,2001年,70年,6.50,33.0%,1,2.00元/平米/月,住宅
辉煌大厦,越秀-东川-白云路46-50号,48037,2000年,70年,2.40,28.0%,1,1.55元/平米/月,住宅
仰忠阁,越秀-北京路-珠光路114-118号,64769,1965年,70年,8.00,20.0%,1,1.75元/平米/月,住宅
菜园西小区,越秀-东山口-菜园西路,43708,2001年,70年,1.50,15.0%,0,1.00元/平米/月,住宅
正佳东方国际,越秀-环市东-环市东路370-372号,16666,2012年,40年,3.40,30.0%,1,0.90元/平米/月,商住楼
天胜村,越秀-环市东-环市东路343号,52366,2001年,70年,1.00,35.0%,1,0.80元/平米/月,住宅
湖滨小区,越秀-大沙头-东湖西路6-70号,46707,1998年,70年,4.00,15.0%,0,0.90元/平米/月,住宅
寺贝通津小区,越秀-东山口-寺贝通津23号,61561,1989年,70年,1.50,50.0%,0,0.90元/平米/月,住宅
文星阁,越秀-公园前-解放中路402-454号,59510,2001年,70年,7.40,30.0%,1,2.00元/平米/月,住宅
富力盈泽苑,越秀-东川-较场东路33号,78254,2000年,70年,3.80,30.0%,0,1.50元/平米/月,住宅
