小区名字,小区地址,均价,容积率,绿化率,有无停车位,物业费,物业类型
荔港南湾,荔湾-南岸-南岸路67号,38509,5.00,35.0%,1,1.55元/平米/月,住宅
珠光御景壹号,荔湾-黄沙-黄沙大道15-17号,91312,2.69,45.0%,1,5.80元/平米/月,住宅
新世界凯粤湾,荔湾-滘口-芳村大道西,49800,3.01,31.0%,1,2.60元/平米/月,住宅
岭南湾畔,荔湾-西村-湾畔大街,55087,3.80,35.0%,1,2.36元/平米/月,住宅
"中海花湾壹号(A区,B区,C区)",荔湾-广钢新城-鹤洞路220号,41603,7.22,35.0%,1,3.50元/平米/月,住宅
芳村花园,荔湾-坑口-东教南路,28787,3.40,45.0%,1,1.35元/平米/月,住宅
珠岛花园,荔湾-桥中-东海南路39号,32850,3.54,46.0%,1,2.80元/平米/月,住宅
金众西关海,荔湾-南岸-南岸路23号,66035,4.79,34.9%,1,3.60元/平米/月,住宅
芳和花园,荔湾-坑口-芳和街2号,24555,1.20,30.0%,1,0.50元/平米/月,住宅
花语水岸,荔湾-桥中-西海南路,46931,3.37,37.0%,1,2.80元/平米/月,住宅
恒荔湾畔,荔湾-芳村-芳村大道中344-360号,46933,4.18,18.3%,1,2.80元/平米/月,住宅
逸翠湾,荔湾-黄沙-黄沙大道8号,57978,2.50,26.0%,1,3.79元/平米/月,住宅
乐怡居,荔湾-芳村-喜鹊路273号,31790,2.51,20.0%,1,1.20元/平米/月,住宅
新世界逸彩庭园,荔湾-滘口-芳信街7号,33547,3.24,35.5%,1,0.90元/平米/月,住宅
四季花园,荔湾-坑口-花地大道中246号,31328,3.04,33.1%,1,1.43元/平米/月,住宅
怡芳苑,荔湾-芳村-怡德街8号,29190,2.60,30.0%,1,1.00元/平米/月,住宅
珠江金茂府,荔湾-广钢新城-荔勤北路,62630,4.80,35.0%,1,3.58元/平米/月,住宅
金道花苑,荔湾-坑口-金光大街,23337,2.40,30.0%,1,1.00元/平米/月,住宅
保利西悦湾,荔湾-坑口-东漖南路,41289,2.89,35.0%,1,2.80元/平米/月,住宅
保利和光晨樾,荔湾-广钢新城-开拓路,52636,2.50,35.0%,1,4.00元/平米/月,住宅
东鹏花园,荔湾-坑口-浣南街,27135,0.76,30.0%,1,0.50元/平米/月,住宅
富力新居,荔湾-南岸-富力路36-20号,32727,3.20,10.0%,1,1.20元/平米/月,住宅
华发荔湾荟,荔湾-滘口-岭海街,36366,2.76,47.0%,1,3.00元/平米/月,住宅
荔湾广场,荔湾-长寿路-德星路9号,19000,2.50,20.0%,1,0.90元/平米/月,住宅
华发中央公园,荔湾-广钢新城-鹤洞路,59480,3.80,27.0%,1,3.50元/平米/月,住宅
周门小区,荔湾-周门-周门街,35109,2.50,20.0%,1,0.70元/平米/月,住宅
富力唐宁花园,荔湾-环市西-唐宁北一街1-15号,50835,2.00,30.0%,1,3.50元/平米/月,住宅
鸿图苑,荔湾-芳村-浣花西路82号,24046,2.00,30.0%,1,0.60元/平米/月,住宅
合兴苑,荔湾-芳村-悦成路95号,21998,2.40,35.0%,1,0.60元/平米/月,住宅
辉洋苑,荔湾-中山八路-粤南大街15号,35652,2.40,43.0%,1,1.80元/平米/月,住宅
坑口新村小区,荔湾-广钢新城-花地大道中,17344,1.20,20.0%,1,0.60元/平米/月,住宅
金融街融穗华府,荔湾-广钢新城-融穗街11号,43945,4.81,35.0%,1,3.00元/平米/月,住宅
宝盛新家园,荔湾-中山八路-逢源路108号,41715,2.50,38.24%,1,1.80元/平米/月,住宅
翠竹苑(荔湾),荔湾-花地湾-花湾路636号,30173,2.15,32.0%,1,1.75元/平米/月,住宅
振业天颂,"荔湾-广钢新城-鹤洞路,近芳村大道",52414,3.90,35.0%,1,3.18元/平米/月,住宅
保利公园九里,荔湾-龙溪-龙溪中路,33878,3.64,45.0%,1,2.80元/平米/月,住宅
恒宝华庭,荔湾-文昌南路-宝华路139号,47682,8.86,30.0%,1,2.80元/平米/月,住宅
元邦明月水岸,荔湾-芳村-花地大道南158号,29315,2.89,65.0%,1,2.80元/平米/月,住宅
丽和华庭,荔湾-芳村-东漖北路74号,40552,4.40,31.0%,1,2.50元/平米/月,住宅
贵贤上品,荔湾-西关-华贵路13号,65426,5.69,30.0%,1,2.80元/平米/月,住宅
富力环市西苑,荔湾-西村-环市西路33号,41083,5.09,30.0%,1,1.85元/平米/月,住宅
远东御江豪庭,荔湾-芳村-百花路58号,34390,4.50,30.0%,1,2.80元/平米/月,住宅
中国铁建荔湾国际城,荔湾-龙溪-龙溪中路,34971,4.31,67.5%,1,2.80元/平米/月,住宅
保利葛洲坝海德公馆,荔湾-广钢新城-鹤洞路,51339,3.90,35.0%,1,3.20元/平米/月,住宅
城启十三行广场,荔湾-西关-十三行路13-2号,36448,2.50,30.0%,1,2.30元/平米/月,住宅
北大资源博雅1898,荔湾-广钢新城-鹤洞路,46504,3.90,28.0%,1,3.50元/平米/月,住宅
环翠园小区,荔湾-中山八路-环翠园路,27000,0.50,20.0%,1,0.50元/平米/月,住宅
富力君湖华庭,荔湾-站前路-陈岗路,61180,3.64,37.5%,1,3.00元/平米/月,住宅
悦江上品苑,"荔湾-桥中-悦品二街2,3,4号",54347,3.00,30.0%,1,2.80元/平米/月,住宅
西门口广场,荔湾-陈家祠-中山七路56号,48406,8.00,30.0%,1,1.95元/平米/月,住宅
芳园居,荔湾-芳村-龙溪大道,23798,2.55,40.0%,1,0.60元/平米/月,住宅
路劲隽泷湾,荔湾-龙溪-龙溪中路,29905,3.51,40.0%,1,2.80元/平米/月,住宅
中山七路小区,荔湾-陈家祠-中山七路,31520,3.11,15.3%,1,0.60元/平米/月,住宅
珠江鹅潭湾,荔湾-滘口-滘口大街,46513,3.00,44.0%,1,3.60元/平米/月,住宅
