小区名字,小区地址,均价,容积率,绿化率,有无停车位,物业费,物业类型
骏景花园,天河-棠下-中山大道190号,49967,2.17,40.0%,1,2.80元/平米/月,住宅
美林海岸花园,天河-员村-棕林街61号,77082,2.44,33.4%,1,1.20元/平米/月,住宅
盈彩美居,天河-东圃-盈溪路,54560,2.88,30.0%,1,1.20元/平米/月,住宅
兰亭盛荟,天河-东圃-东圃明镜路,70093,3.80,62.0%,1,3.50元/平米/月,住宅
中海康城花园,天河-黄村-广园快速路,45544,1.74,40.0%,1,2.37元/平米/月,住宅
宝翠园,天河-龙洞-宝翠路4号,58641,2.66,45.2%,1,1.90元/平米/月,住宅
江源半岛,天河-车陂-车陂路,63890,2.11,35.0%,1,2.30元/平米/月,住宅
东方新世界,天河-天河公园-中山大道西158号,84828,3.99,42.0%,1,2.30元/平米/月,住宅
远洋天骄,天河-天河客运站-元岗路68号,45877,2.37,30.0%,1,3.80元/平米/月,住宅
南国花园,天河-珠江新城东-平月路161号,103592,2.00,40.0%,1,2.00元/平米/月,住宅
帝景苑,天河-天河北-天河北路550-590号,68740,1.34,30.0%,1,2.79元/平米/月,住宅
富力天朗明居,天河-车陂-车陂路407号,43747,3.31,31.7%,1,1.20元/平米/月,住宅
世纪绿洲,天河-龙洞-品翠街30号,43742,2.50,40.0%,1,1.80元/平米/月,住宅
美林湖畔花园,天河-东圃-桃园南一街,61726,2.00,30.0%,1,0.90元/平米/月,住宅
加拿大花园,天河-天河公园-枫叶路8号,38237,4.62,45.0%,1,1.60元/平米/月,住宅
翠湖山庄,天河-员村-黄埔大道萝斗岗1号,50346,5.66,70.0%,1,1.45元/平米/月,住宅
星汇园,天河-珠江新城西-华明路,97434,5.47,35.0%,1,2.30元/平米/月,住宅
中怡城市花园,"天河-林和-林和东路,近林乐路",88420,5.84,38.0%,1,2.50元/平米/月,住宅
万科云城米酷,天河-天河智慧城-华旭街,21422,4.51,30.0%,1,4.50元/平米/月,商住楼
芳草园小区,天河-天河北-天河北路571号,80990,3.80,38.0%,1,2.30元/平米/月,住宅
信达金茂府,天河-沙河-广州大道北920号,65982,3.00,35.0%,1,暂无,住宅
乐意居花苑,天河-长兴-美景街18号,36319,1.84,30.0%,1,0.75元/平米/月,住宅
棠德花苑,天河-棠东-棠德西路56号,27410,2.50,30.0%,1,0.54元/平米/月,住宅
天誉花园,天河-林和-林和中路,64968,6.00,30.0%,1,2.00元/平米/月,住宅
天健上城,天河-车陂-天坤三路,61492,2.80,35.0%,1,3.20元/平米/月,住宅
星汇云锦,天河-珠江新城西-华明路4号,90489,2.50,22.0%,1,4.50元/平米/月,住宅
保利林海山庄,天河-龙洞-天源路,40161,2.10,60.0%,1,2.38元/平米/月,住宅
华润天合,天河-珠吉-大灵山路400号,60224,2.10,35.0%,1,3.50元/平米/月,住宅
碧海湾,天河-珠江新城西-临江大道39号,106269,3.50,30.0%,1,2.80元/平米/月,住宅
保利心语花园,天河-珠江新城中-金穗路70号,114077,4.54,36.0%,1,2.60元/平米/月,住宅
金燕花苑,天河-燕塘-粤垦路614-624号,36016,3.80,35.0%,1,1.00元/平米/月,住宅
跑马地花园,天河-珠江新城东-黄埔大道西868号,62063,3.27,23.0%,1,1.70元/平米/月,住宅
旭景家园,天河-东圃-中山大道,42642,2.15,36.0%,1,0.90元/平米/月,住宅
育龙居,天河-龙洞-天源路1111号,37189,2.30,40.0%,1,1.00元/平米/月,住宅
穗园小区,天河-龙口西-龙口西路551号,56146,3.70,60.0%,1,1.10元/平米/月,住宅
天河星作,天河-车陂-合景路99号,38444,2.62,33.0%,1,3.20元/平米/月,住宅
东方新世界熹园,天河-天河公园-中山大道西158号,110380,3.75,42.0%,1,2.30元/平米/月,住宅
名雅苑(天河),天河-体育中心-华康街9号,62973,1.80,40.0%,1,0.90元/平米/月,住宅
羊城花园,天河-东圃-中山大道前进1号,38063,2.12,25.0%,1,1.00元/平米/月,住宅
华南御景园,天河-岑村-岑村路,46314,1.24,48.5%,1,1.80元/平米/月,住宅
东方之珠花园,天河-天河北-天河北路715号,54435,4.11,40.0%,1,2.00元/平米/月,住宅
侨鑫汇景新城龙熹山,天河-汇景新城-汇景北路146-182号(双号),86659,2.00,65.0%,1,4.00元/平米/月,住宅
东成花苑,天河-员村-黄埔大道中187-1号,41649,3.00,20.0%,1,0.40元/平米/月,住宅
侨怡苑,天河-天河北-天河北路382-388号,61317,2.24,40.0%,1,0.68元/平米/月,住宅
橡树园,天河-沙太南-沙太南路316号,42212,1.90,45.0%,1,1.30元/平米/月,住宅
合生帝景山庄,天河-珠吉-悦景路11号,83642,0.50,50.0%,1,6.80元/平米/月,别墅
侨鑫汇悦台,天河-珠江新城东-临江大道417-431号,298343,7.09,35.0%,1,8.00元/平米/月,住宅
瑜翠园,天河-龙洞-荟龙路10号,33468,2.48,30.0%,1,1.96元/平米/月,住宅
广海花园,天河-天河公园-建中路7号,41467,1.20,40.0%,1,0.50元/平米/月,住宅
育蕾小区,天河-体育西路-体育西路三街12号,51901,1.50,40.0%,1,0.60元/平米/月,住宅
天鹅花苑,天河-长兴-长兴路129号,34133,2.51,20.0%,1,0.75元/平米/月,住宅
华港花园,天河-天河公园-东方一路24号,61324,3.63,30.0%,1,1.50元/平米/月,住宅
中海花城湾,天河-珠江新城中-花城大道86号,177536,9.63,35.0%,1,3.29元/平米/月,住宅
珠光新城御景(二期),天河-珠江新城东-花城大道,122172,3.91,30.0%,1,5.00元/平米/月,住宅
广氮花园,天河-棠下-广氮大道,40515,4.00,36.0%,1,3.00元/平米/月,住宅
嘉裕君玥公馆,天河-珠江新城西-花城大道39号,110418,8.78,30.0%,1,3.50元/平米/月,住宅
华景新城(天河),天河-天河公园-华景路109号,52892,1.67,30.0%,1,1.90元/平米/月,住宅
美好居,天河-车陂-中山大道中29号,37258,3.00,32.0%,1,1.00元/平米/月,住宅
珠江俊园,天河-天河公园-俊华街5号,70270,1.77,28.0%,1,1.95元/平米/月,住宅
侨乐新村,天河-沙太南-沙太南路,29794,2.99,40.0%,1,0.60元/平米/月,住宅
君林天下,天河-龙洞-绿洲街38号,43327,2.30,45.0%,1,2.40元/平米/月,住宅
新世界东逸花园,天河-天河公园-东方三路200号,90867,2.15,35.0%,1,2.00元/平米/月,住宅
凯旋新世界枫丹丽舍,天河-珠江新城东-海风路,195259,2.64,44.5%,1,6.50元/平米/月,住宅
合景睿峰,天河-珠江新城东-海乐路12号,46418,6.65,30.0%,1,6.48元/平米/月,商住楼
金田花苑,天河-天河北-天河北路333-560号,56731,8.62,43.0%,1,1.50元/平米/月,住宅
跑马地花园三期,天河-珠江新城东-平云路177号,54445,3.00,40.0%,1,0.90元/平米/月,住宅
东圃广场,天河-东圃-黄村西路8号,40938,3.41,35.0%,1,1.20元/平米/月,住宅
汇景新城棕榈园,天河-汇景新城-汇景南路,80300,2.00,65.0%,1,2.60元/平米/月,住宅
天雅居,天河-黄村-黄村路138号,32429,2.10,29.0%,1,1.20元/平米/月,住宅
金地天河公馆,天河-珠吉-大灵山路,55513,3.00,35.0%,1,3.80元/平米/月,住宅
汇景新城维纶特莱,天河-汇景新城-汇景南路,98900,2.50,40.0%,0,0.90元/平米/月,住宅
富力新村,天河-东圃-东圃大马路,31653,2.10,15.0%,1,0.60元/平米/月,住宅
MBA国际公寓,天河-岗顶-黄埔大道西505号,36466,2.50,30.0%,1,2.50元/平米/月,住宅
员村新村,天河-员村-员村二横路,42275,2.00,25.0%,1,0.50元/平米/月,住宅
体育西小区,天河-体育西路-体育西横街,49766,2.00,40.0%,1,2.00元/平米/月,住宅
嘉裕公馆,天河-珠江新城中-花城大道80号,163183,5.96,30.7%,1,3.50元/平米/月,住宅
保利丰兴广场,天河-体育中心-天河南二路27号,63190,2.50,35.0%,1,1.95元/平米/月,住宅
阳光桃源,天河-东圃-桃园路3号,48421,2.30,40.0%,1,2.80元/平米/月,住宅
嘉尚国际公寓,天河-林和-沾益直街89-93号,77143,1.10,30.0%,1,3.00元/平米/月,住宅
富力盈盛广场,天河-珠江新城东-马场路16号,50450,2.50,30.0%,1,4.00元/平米/月,住宅
凯旋新世界广粤尊府,天河-珠江新城东-海风路,262257,2.64,44.0%,1,6.50元/平米/月,住宅
安厦花园,天河-东圃-安厦一街,37600,3.46,31.0%,1,1.50元/平米/月,住宅
华标广场,天河-龙口东-天河北路601号,69304,4.80,45.0%,1,1.95元/平米/月,住宅
富力花园,天河-东圃-富力街1-39号,27000,2.00,15.0%,1,0.60元/平米/月,住宅
