小区名字,小区地址,均价,容积率,绿化率,有无停车位,物业费,物业类型
东风广场,越秀-东风东-东风东路787号,88140,5.19,33.0%,1,2.70元/平米/月,住宅
淘金家园,越秀-淘金-淘金东路62号,81157,2.97,40.0%,1,1.60元/平米/月,住宅
锦城花园,越秀-东风东-梅花路34号,80855,3.20,33.0%,1,3.80元/平米/月,住宅
富力东山新天地,越秀-杨箕-广州大道,121223,2.50,30.0%,1,6.00元/平米/月,住宅
君汇世家,越秀-水荫路-天河路45号,106034,5.00,30.0%,1,3.50元/平米/月,住宅
德政中路小区,越秀-农讲所-德政中路217号,43847,2.60,25.0%,1,0.80元/平米/月,住宅
中环广场,越秀-建设-建设中马路2-4号,86537,1.20,25.0%,1,2.50元/平米/月,住宅
东湖御苑,越秀-东湖-永胜上沙1号,63889,5.00,30.0%,1,0.90元/平米/月,住宅
羊和园,越秀-共和路-共和三路9号,68089,2.50,40.0%,1,0.75元/平米/月,住宅
东湖新村,越秀-东湖-东湖西路1-9号,48714,4.00,20.0%,1,1.50元/平米/月,住宅
江尚东山,越秀-东湖-大沙头四马路2号,85387,2.50,30.0%,1,3.50元/平米/月,住宅
瑶台花园,越秀-流花-瑶华中街134号,27149,2.60,30.0%,1,0.80元/平米/月,住宅
御江苑,越秀-北京路-南堤二马路36-40号,70214,3.44,30.0%,1,2.50元/平米/月,住宅
东山公寓,越秀-东山口-光东前街7号,26693,2.50,30.0%,1,0.90元/平米/月,住宅
东山一品,越秀-水荫路-水荫路,83876,1.63,30.0%,1,2.80元/平米/月,住宅
富力东堤湾,越秀-中山路-中山一路,82650,6.96,35.0%,1,1.80元/平米/月,住宅
国龙大厦,越秀-小北-环市中路276号,53104,9.70,10.0%,1,1.80元/平米/月,住宅
湖滨小区,越秀-大沙头-东湖西路6-70号,46453,4.00,15.0%,0,0.90元/平米/月,住宅
东海嘉园,越秀-五羊新城-东泰路,95580,2.60,43.0%,1,1.50元/平米/月,住宅
海印苑小区,越秀-东湖-合群一马路133-135号,72366,4.46,32.0%,1,0.90元/平米/月,住宅
水荫直街小区,越秀-水荫路-水荫直街,42781,3.00,35.0%,1,3.50元/平米/月,住宅
城启波尔多庄园,越秀-淘金-淘金东路141号,53041,4.00,22.0%,0,2.10元/平米/月,住宅
御景花园,越秀-流花-北站路102-132号,27327,1.50,70.0%,1,2.70元/平米/月,住宅
方凯华庭,越秀-小北-应元路5号,71160,9.09,30.0%,1,2.00元/平米/月,住宅
东湖北大院,越秀-东湖-合群一马路85号,113484,4.10,25.0%,1,0.80元/平米/月,住宅
东山印象台,越秀-农讲所-中山四路263-289号,76784,2.50,10.0%,1,3.20元/平米/月,住宅
骏文雅苑,越秀-北京路-文明路119-123号,82708,9.49,25.0%,1,3.40元/平米/月,住宅
富力御龙庭,越秀-淘金-淘金路108-138号,72933,4.04,38.0%,1,2.50元/平米/月,住宅
梅花路电力设计院宿舍,越秀-东风东-梅花路65号,71124,2.00,35.0%,0,0.60元/平米/月,住宅
共和村,越秀-共和路-共和大街,44920,1.20,27.0%,1,0.50元/平米/月,住宅
东山雅筑,越秀-东风东-东风东路776号,93524,2.50,35.0%,1,3.30元/平米/月,住宅
逸雅居,越秀-建设-建设大马路8-5号,68057,2.43,30.0%,0,2.30元/平米/月,住宅
文德广场,越秀-北京路-文德南路54~64号,59349,2.50,28.0%,0,0.90元/平米/月,住宅
金羊花园,越秀-中山路-中山一路53-1号,70489,4.22,33.0%,1,0.60元/平米/月,住宅
银基金湾,越秀-越秀南-越秀南路1号,61992,9.17,35.0%,1,2.80元/平米/月,住宅
天伦花园,越秀-建设-建设四马路17-29号,73272,1.30,30.0%,1,2.00元/平米/月,住宅
恒鑫御园,越秀-盘福-解放北路680号,80496,6.50,33.0%,1,2.00元/平米/月,住宅
五羊华轩,越秀-五羊新城-东泰路46号,60503,2.50,30.0%,1,1.70元/平米/月,住宅
梅花村小区,越秀-梅花村-中山一路,70128,1.20,20.0%,1,0.50元/平米/月,住宅
珠光小北御景,越秀-小北-小北路198号,95345,2.50,25.0%,1,2.50元/平米/月,住宅
方兴竹雅苑,越秀-流花-温泉新街14-20号,42905,2.19,37.0%,1,2.60元/平米/月,住宅
仓边路小区,越秀-农讲所-仓边路32号,47152,2.50,36.0%,1,1.10元/平米/月,住宅
万艺国际精品广场,越秀-海珠广场-侨光路10-12号,29288,3.00,15.0%,1,3.50元/平米/月,住宅
雅景阁,越秀-农讲所-德政南路115-125号,42248,3.00,40.0%,1,2.10元/平米/月,住宅
东华西路小区,越秀-东川-东华西路,40050,2.50,35.0%,1,0.80元/平米/月,住宅
麓湖御景,越秀-淘金-麓苑路39号,52151,7.05,30.0%,1,2.50元/平米/月,住宅
科苑社区,越秀-黄花岗-先烈中路81号,48977,2.60,30.0%,1,0.90元/平米/月,住宅
小东园,越秀-东山口-小东园,85341,1.90,45.0%,1,0.80元/平米/月,住宅
东方文德广场,越秀-农讲所-文德北路66-72号,109684,8.20,30.0%,1,3.50元/平米/月,住宅
东山紫园,越秀-东风东-东风东路745号,82748,7.39,35.0%,1,2.60元/平米/月,住宅
东鸣轩,越秀-农讲所-中山四路199-231号,69686,2.60,36.0%,1,1.98元/平米/月,住宅
仰忠阁,越秀-北京路-珠光路114-118号,64941,8.00,20.0%,1,1.75元/平米/月,住宅
东川大厦,越秀-东川-东川路6号,74850,2.00,30.0%,1,1.50元/平米/月,住宅
大德路小区,越秀-西门口-大德路135号,26724,2.30,12.0%,0,0.90元/平米/月,住宅
淘金半山豪庭,越秀-淘金-淘金街12号,90118,3.19,33.0%,1,6.19元/平米/月,住宅
汉苑(越秀),越秀-五羊新城-明月一路59号,108076,6.20,55.0%,1,2.00元/平米/月,住宅
辉煌大厦,越秀-东川-白云路46-50号,47839,2.40,28.0%,1,1.55元/平米/月,住宅
建设四马路小区,越秀-建设-建设四马路26-43号,51710,1.80,26.0%,1,0.90元/平米/月,住宅
海珠中路小区,越秀-西门口-海珠中路169号,29646,1.50,25.0%,1,1.00元/平米/月,住宅
府前铭泰,越秀-北京路-中山五路217-255号,24595,2.50,20.0%,1,5.00元/平米/月,住宅
拥翠小区,越秀-建设-建设大马路17号,45599,0.45,10.0%,1,0.90元/平米/月,住宅
嘉和苑,越秀-西门口-东风西路148号,50520,5.00,30.0%,1,2.20元/平米/月,住宅
农林下路小区,越秀-农林下路-农林下路,73885,1.20,30.0%,1,15.00元/平米/月,住宅
保利麓苑,越秀-淘金-麓苑路33号,62710,8.03,30.0%,1,1.85元/平米/月,住宅
菜园西小区,越秀-东山口-菜园西路,44520,1.50,15.0%,0,1.00元/平米/月,住宅
法政社区,"越秀-小北-登瀛路3之1,5之1,7-10号",54500,1.20,20.0%,0,0.50元/平米/月,住宅
东湖肯辛顿,越秀-东湖-东湖西路30-44号,72035,3.80,30.0%,0,0.60元/平米/月,住宅
华侨乐园,越秀-淘金-恒福路240-244-248号,45743,2.10,30.0%,1,1.80元/平米/月,住宅
东山水恋,越秀-东湖-大沙头三马路,81506,4.51,50.0%,0,暂无,住宅
东园新村(越秀),越秀-中山路-农林东路,61190,2.80,36.0%,0,1.20元/平米/月,住宅
锦桦大厦,越秀-东川-东华东路351号,61974,6.93,20.0%,1,1.50元/平米/月,住宅
共和西小区,越秀-共和路-共和西路1号,67857,1.50,33.0%,1,0.61元/平米/月,住宅
桂花岗小区,越秀-解放北-桂花路1-2号,39059,2.50,40.0%,1,1.00元/平米/月,住宅
凯旋会花园,越秀-五羊新城-明月一路11-23号,119759,7.50,65.0%,1,4.00元/平米/月,住宅
正佳东方国际,越秀-环市东-环市东路370-372号,16649,3.40,30.0%,1,0.90元/平米/月,商住楼
金亚花园,越秀-二沙岛-大通路,146908,0.28,40.0%,0,6.90元/平米/月,住宅
麓湖大厦,"越秀-麓湖-麓景路126号,128号",55831,2.80,20.0%,1,1.60元/平米/月,住宅
俊逸阁,越秀-农讲所-大塘街62-66号,57557,2.50,30.0%,1,1.50元/平米/月,住宅
淘金华庭,越秀-淘金-淘金东路25-29号,58139,2.50,30.0%,1,0.90元/平米/月,住宅
小北路小区,越秀-小北-小北路,53727,2.56,26.0%,1,1.80元/平米/月,住宅
富力盈泽苑,越秀-东川-较场东路33号,79787,3.80,30.0%,0,1.50元/平米/月,住宅
华侨新村和平路小区,越秀-环市东-和平路,85615,1.50,20.0%,0,0.50元/平米/月,住宅
执信南路小区,越秀-农林下路-执信南路,51539,2.50,30.0%,1,1.10元/平米/月,住宅
天胜村,越秀-环市东-环市东路343号,53357,1.00,35.0%,1,0.80元/平米/月,住宅
东山欣园,越秀-五羊新城-寺右一马路189-193号,99902,3.80,35.0%,1,2.50元/平米/月,住宅
华侨新村友爱路小区,越秀-淘金-友爱路,61914,1.80,36.0%,0,0.60元/平米/月,住宅
联发名阁,越秀-东川-东华南路172号,60088,5.21,20.0%,1,1.80元/平米/月,住宅
狮带岗小区,越秀-麓湖-麓景路,39306,2.60,25.0%,1,0.40元/平米/月,住宅
东湖豪苑,越秀-东山口-东湖路26号,88578,4.25,50.0%,1,0.90元/平米/月,住宅
万科金色家园,越秀-东风东-东风东路746号,95722,2.40,35.0%,1,2.10元/平米/月,住宅
达道雅轩,越秀-共和路-共和西路2-4号,81823,5.00,30.0%,1,0.90元/平米/月,住宅
龙湖大厦,越秀-大沙头-东湖路128号,61800,1.83,25.0%,1,2.50元/平米/月,住宅
金迪大厦,越秀-杨箕-泰兴直街50号,47970,5.01,10.0%,1,1.30元/平米/月,住宅
精彩生活大厦,越秀-北京路-文明路36-48号,77781,2.50,30.0%,0,0.90元/平米/月,住宅
都市晴川,越秀-东川-元运街31号,79684,3.50,20.0%,0,3.00元/平米/月,住宅
海月街小区,越秀-东川-海月街,41102,2.50,25.0%,0,1.20元/平米/月,住宅
富力宜居,越秀-东川-广九大马路13号,56593,4.68,20.0%,0,2.00元/平米/月,住宅
东山锦轩,越秀-东山口-农林下路4-6号,72853,7.50,10.0%,1,2.40元/平米/月,住宅
淘金北小区,越秀-淘金-淘金北路7-53号,44478,2.10,28.0%,1,1.20元/平米/月,住宅
宜安里,越秀-北京路-宜安里1号,44983,1.50,30.0%,0,0.90元/平米/月,住宅
丽苑大厦(越秀),越秀-东川-东华西路113号,41232,2.50,20.0%,1,1.00元/平米/月,住宅
邮电小区,越秀-建设-华乐路,45644,3.60,30.0%,1,0.90元/平米/月,住宅
富宏花园,越秀-小北-应元路76号,62068,2.66,37.0%,1,1.70元/平米/月,住宅
应元宫道小区,越秀-小北-应元路23号,67486,2.51,35.0%,0,0.50元/平米/月,住宅
花园新村,越秀-大沙头-大沙头二马路38号,36884,4.00,40.0%,1,0.60元/平米/月,住宅
寺贝通津小区,越秀-东山口-寺贝通津23号,63476,1.50,50.0%,0,0.90元/平米/月,住宅
大沙头路小区,"越秀-大沙头-大沙头20,21号,大沙头三马路2号",34703,2.40,20.0%,0,0.50元/平米/月,住宅
青菜东社区,越秀-建设-华乐路,46155,2.50,34.0%,0,2.00元/平米/月,住宅
教工新村,越秀-东山口-保安南街34-40号,65202,1.50,35.0%,1,0.90元/平米/月,住宅
淘金路小区,越秀-淘金-淘金路,54295,2.70,33.0%,1,0.50元/平米/月,住宅
东方花苑,越秀-杨箕-广州大道中353-367号,46365,5.00,38.0%,1,2.00元/平米/月,住宅
濠畔商厦,越秀-一德路-海珠南路276-296号,11435,2.50,15.0%,1,2.80元/平米/月,住宅
五号公馆,越秀-北京路-北京路5号,67750,2.50,80.0%,1,2.50元/平米/月,住宅
中曦大厦,越秀-解放南-解放中路306号,48500,7.61,34.0%,1,2.00元/平米/月,住宅
文德先生,越秀-北京路-珠光路82号,85670,8.20,30.0%,1,2.80元/平米/月,住宅
东山领汇广场,越秀-中山路-中山一路59-63号,80699,5.30,30.0%,1,2.70元/平米/月,住宅
文明路小区,越秀-北京路-文明路,42393,1.50,20.0%,0,0.90元/平米/月,住宅
东兴小区,越秀-五羊新城-东兴北路1-102号,47535,2.60,40.0%,0,0.65元/平米/月,住宅
象岗山小区,越秀-解放北-解放北路,36575,1.50,35.0%,1,1.00元/平米/月,住宅
华荟大厦,越秀-北京路-万福路19-95号,55681,2.50,22.0%,1,1.30元/平米/月,住宅
荔湾西华路小区,荔湾-陈家祠-西华路300-600号,31888,3.11,17.0%,1,0.90元/平米/月,住宅
越秀上品轩,越秀-西门口-中山六路285-287号,60386,1.65,25.0%,1,2.50元/平米/月,住宅
花果山庄,越秀-环市东-西胜街,36000,2.65,50.0%,1,1.00元/平米/月,住宅
豪贤苑,越秀-农讲所-仁生里13号,52662,6.00,16.0%,1,1.50元/平米/月,住宅
北京大厦,越秀-北京路-北京路68号,60240,2.50,25.0%,0,1.90元/平米/月,住宅
东兴南路小区,越秀-五羊新城-东兴南路1-109号,45000,2.60,35.0%,0,暂无,住宅
泰峰大厦,越秀-盘福-盘福路22-2号,46200,3.80,26.0%,1,1.30元/平米/月,住宅
文德雅轩,越秀-北京路-聚仁坊9号,76821,5.00,30.0%,1,2.00元/平米/月,住宅
绿景东山华庭,越秀-大沙头-东船上街14-42号,68243,2.23,30.8%,1,2.50元/平米/月,住宅
黄花新村,越秀-环市东-环市东路,44234,1.00,35.0%,1,1.50元/平米/月,住宅
新世界棕榈园,越秀-二沙岛-大通路25号,161760,1.20,34.0%,1,6.60元/平米/月,住宅
雍雅园(越秀),越秀-农讲所-芳草街2号,75105,2.50,33.0%,1,1.50元/平米/月,住宅
仰忠街小区,越秀-北京路-仰忠街,63403,2.00,15.0%,1,0.80元/平米/月,住宅
福莱花园,越秀-水荫路-水荫直街西6巷23号,46222,3.50,40.0%,1,3.50元/平米/月,住宅
嘉富广场,越秀-水荫路-水荫横路55-63号,60250,4.60,40.0%,1,2.50元/平米/月,住宅
东方广场,越秀-环市东-犀牛路38-44号,72777,5.18,20.0%,1,1.75元/平米/月,住宅
粤港大厦,越秀-东山口-龟岗大马路4号,71394,5.65,21.0%,1,1.05元/平米/月,住宅
广东省地质局大院,越秀-东风东-东风东路741号,43695,2.00,12.0%,0,1.00元/平米/月,住宅
一德花园,越秀-解放南-解放南路与一德路交叉路端,42852,4.97,15.0%,1,2.00元/平米/月,住宅
聚龙明珠花园,越秀-二沙岛-大通路,123507,1.33,30.0%,1,4.00元/平米/月,住宅
海印花园,越秀-大沙头-大沙头马路27号之1,63771,6.17,30.0%,1,0.90元/平米/月,住宅
启明社区,越秀-东山口-启明横马路17号,87000,1.20,38.0%,0,0.50元/平米/月,住宅
东山公馆,越秀-农林下路-农林下路11号,58842,2.50,30.0%,1,1.80元/平米/月,住宅
珠江园,越秀-北京路-文德南路58号,43184,2.00,40.0%,1,0.90元/平米/月,住宅
水荫翠苑,越秀-水荫路-水荫路70-80号,72530,4.00,20.0%,1,1.30元/平米/月,住宅
润粤大厦,越秀-水荫路-天河路35号,68878,2.50,28.0%,0,2.00元/平米/月,住宅
凯城华庭,越秀-黄花岗-先烈中路83号,47000,7.30,37.0%,1,1.80元/平米/月,住宅
盘福社区,越秀-盘福-盘福路,46177,1.50,20.0%,1,0.50元/平米/月,住宅
洪都大厦,越秀-黄花岗-先烈中路81号,66537,2.50,30.0%,0,0.90元/平米/月,住宅
