Variable,Coefficient,Std.Error,t-value,p-value
Intercept,28898.7013,5053.57907235854,5.718462276522847,1.3923360908663085e-08
FAR,2400.6108,524.152227967659,4.579987805530609,5.193783709112054e-06
PRO,12110.1764,1163.1598431635348,10.41144642740077,0.0
GRE,34187.4978,8577.90479989885,3.9855301012501356,7.187546032194625e-05
BUS,2.4087,4.950627535228487,0.4865390047380436,0.6266843029193945
SUB,6.9590,1.5283838871509652,4.553204976731944,5.886917122666091e-06
HOS,2.2310,1.142641702085735,1.9524946057266621,0.051138960841702996
PSC,2.6734,2.828237721433692,0.9452375107716495,0.34475018897792764
MSC,-5.3219,2.4684890664027725,-2.155931477450216,0.03131051786877448
PAR,-1.8110,2.379412548752587,-0.761102809069655,0.4467627014607498
CBD,-5.3799,0.6579817055111389,-8.176303609627057,8.881784197001252e-16
SCBD,2.2224,0.7686438591527278,2.8913630242637374,0.0039130161248965845
MAR,0.8632,2.4597496830922143,0.3509348906894617,0.7257060053879161
ARE,0.0167,0.007165692257892726,2.3260790177454735,0.02019970360191703
RIV,-1.5606,0.5364481355237101,-2.909062658849853,0.0036998155574547997
R-squared,0.6607,,,
Adjusted R-squared,0.6247,,,
AICc,25455.3799,,,
Bandwidth,71.0000,,,
